episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/defensive_policy/num_agent_steps_trained,info/learner/defensive_policy/num_grad_updates_lifetime,info/learner/defensive_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/defensive_policy/learner_stats/allreduce_latency,info/learner/defensive_policy/learner_stats/grad_gnorm,info/learner/defensive_policy/learner_stats/cur_kl_coeff,info/learner/defensive_policy/learner_stats/cur_lr,info/learner/defensive_policy/learner_stats/total_loss,info/learner/defensive_policy/learner_stats/policy_loss,info/learner/defensive_policy/learner_stats/vf_loss,info/learner/defensive_policy/learner_stats/vf_explained_var,info/learner/defensive_policy/learner_stats/kl,info/learner/defensive_policy/learner_stats/entropy,info/learner/defensive_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,2,0,0,40000,40000,4000,4000,4000,4000,107.67224950714123,107.67224950714123,4000,4000,40000,False,0,1,964ad_00000,2025-12-08_19-39-59,1765222799,37.15179491043091,37.15179491043091,4875,5be016125046,172.17.0.2,37.15179491043091,1,4000,4000,40000,40000,nan,nan,nan,nan,0,0,[],[],37149.755,13098.416,24046.575,166.344,4.136,4000,4000,40000,40000,4.348,20.037999999999997,[],[],127.38853503184713,2355.5,2354.5,0.0,0.4504912836916128,0.2,5.0000000000000016e-05,-0.008118512178789736,-0.009806357322343785,0.00022175265411844363,0.5159726901671942,0.007330463202891785,2.9370096007223596,0.0
nan,nan,nan,nan,0,0,2,0,0,80000,80000,8000,8000,4000,4000,102.08793393476309,102.08793393476309,8000,4000,80000,False,0,2,964ad_00000,2025-12-08_19-40-38,1765222838,39.18479800224304,76.33659291267395,4875,5be016125046,172.17.0.2,76.33659291267395,2,8000,8000,80000,80000,nan,nan,nan,nan,0,0,[],[],38165.821,12882.363,25278.057,158.24,4.882,8000,8000,80000,80000,4.3875,20.48333333333333,[],[],127.38853503184713,7065.5,2354.5,0.0,0.47396756378328725,0.2,5.0000000000000016e-05,-0.008785613929774245,-0.010713061706050282,7.711380723246472e-06,0.5592572222722817,0.00959868562894769,2.925166303083902,0.0
nan,nan,nan,nan,0,0,2,0,0,120000,120000,12000,12000,4000,4000,111.2068029821228,111.2068029821228,12000,4000,120000,False,0,3,964ad_00000,2025-12-08_19-41-14,1765222874,35.97105574607849,112.30764865875244,4875,5be016125046,172.17.0.2,112.30764865875244,3,12000,12000,120000,120000,nan,nan,nan,nan,0,0,[],[],37433.547,12201.762,25226.629,158.563,4.636,12000,12000,120000,120000,4.367346938775511,20.669387755102044,[],[],127.38853503184713,11775.5,2354.5,0.0,0.5090968350379583,0.2,5.0000000000000016e-05,-0.007834059452422253,-0.00952126268878769,1.098332637777822e-06,0.5790542027246673,0.008430529201262924,2.912415740444402,0.0
30.010000000013694,30.010000000013694,30.010000000013694,3001.0,4,0,2,0,0,160000,160000,16000,16000,4000,4000,108.9311660571818,108.9311660571818,16000,4000,160000,False,4,4,964ad_00000,2025-12-08_19-41-51,1765222911,36.72256541252136,149.0302140712738,4875,5be016125046,172.17.0.2,149.0302140712738,4,16000,16000,160000,160000,30.010000000013694,30.010000000013694,30.010000000013694,3001.0,4,0,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001]",37255.265,11825.565,25424.872,157.326,4.305,16000,16000,160000,160000,4.511764705882352,20.74117647058823,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001]",127.38853503184713,16485.5,2354.5,0.0,0.37199229269017586,0.2,5.0000000000000016e-05,-0.0067192901093515245,-0.008252187509825275,9.74930989505066e-06,0.4252448358480085,0.007615742911691544,2.9020577869091317,0.0
30.010000000013694,30.010000000013694,30.010000000013694,3001.0,0,0,2,0,0,200000,200000,20000,20000,4000,4000,104.23281547494126,104.23281547494126,20000,4000,200000,False,4,5,964ad_00000,2025-12-08_19-42-30,1765222950,38.377898931503296,187.4081130027771,4875,5be016125046,172.17.0.2,187.4081130027771,5,20000,20000,200000,200000,30.010000000013694,30.010000000013694,30.010000000013694,3001.0,0,0,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001]",37479.334,11655.782,25818.965,154.925,4.112,20000,20000,200000,200000,4.457407407407408,20.901851851851863,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001]",127.38853503184713,21195.5,2354.5,0.0,0.6298695660004444,0.2,5.0000000000000016e-05,-0.011539006886327533,-0.013829376208526725,1.1343908890359942e-07,0.9087801289406552,0.011451294244537669,2.8959820634493654,0.0
30.010000000013694,30.010000000013694,30.010000000013694,3001.0,0,0,2,0,0,240000,240000,24000,24000,4000,4000,96.32261225995556,96.32261225995556,24000,4000,240000,False,4,6,964ad_00000,2025-12-08_19-43-11,1765222991,41.52951145172119,228.9376244544983,4875,5be016125046,172.17.0.2,228.9376244544983,6,24000,24000,240000,240000,30.010000000013694,30.010000000013694,30.010000000013694,3001.0,0,0,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001]",38153.96,11955.594,26193.372,152.71,4.481,24000,24000,240000,240000,4.626315789473685,20.900000000000002,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001]",127.38853503184713,25905.5,2354.5,0.0,0.6069758430091692,0.2,5.0000000000000016e-05,-0.01329202201703589,-0.016129913039786264,4.350266056703424e-08,0.9795828121103299,0.014189256381618635,2.886020299937821,0.0
30.010000000013694,30.010000000013694,30.010000000013694,3001.0,4,0,2,0,0,280000,280000,28000,28000,4000,4000,99.77368548449358,99.77368548449358,28000,4000,280000,False,8,7,964ad_00000,2025-12-08_19-43-51,1765223031,40.09243106842041,269.0300555229187,4875,5be016125046,172.17.0.2,269.0300555229187,7,28000,28000,280000,280000,30.010000000013694,30.010000000013694,30.010000000013694,3001.0,4,0,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001]",38430.634,11761.362,26664.469,150.012,4.3,28000,28000,280000,280000,4.569811320754717,20.90000000000001,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001]",127.38853503184713,30615.5,2354.5,0.0,0.2579102092978175,0.2,5.0000000000000016e-05,-0.007956899251396355,-0.009963672515499206,1.659578241955698e-05,-0.006728675714723623,0.009950888074023317,2.8539220303739965,0.0
30.010000000013694,30.010000000013694,30.010000000013694,3001.0,0,0,2,0,0,320000,320000,32000,32000,4000,4000,107.3953507968886,107.3953507968886,32000,4000,320000,False,8,8,964ad_00000,2025-12-08_19-44-28,1765223068,37.24818420410156,306.27823972702026,4875,5be016125046,172.17.0.2,306.27823972702026,8,32000,32000,320000,320000,30.010000000013694,30.010000000013694,30.010000000013694,3001.0,0,0,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001]",38282.498,11596.349,26681.443,149.917,4.23,32000,32000,320000,320000,4.508163265306122,20.96938775510204,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001]",127.38853503184713,35325.5,2354.5,0.0,0.6509740063465831,0.2,5.0000000000000016e-05,-0.008998566790807185,-0.011294091050167055,3.4291861882738736e-07,0.8830754874491641,0.011475917376766127,2.8496594249822533,0.0
30.010000000013694,30.010000000013694,30.010000000013694,3001.0,0,0,2,0,0,360000,360000,36000,36000,4000,4000,105.28920545936423,105.28920545936423,36000,4000,360000,False,8,9,964ad_00000,2025-12-08_19-45-06,1765223106,37.99250841140747,344.27074813842773,4875,5be016125046,172.17.0.2,344.27074813842773,9,36000,36000,360000,360000,30.010000000013694,30.010000000013694,30.010000000013694,3001.0,0,0,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001]",38250.062,11489.561,26755.889,149.5,4.119,36000,36000,360000,360000,4.474,21.0,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001]",127.38853503184713,40035.5,2354.5,0.0,0.688145755702776,0.2,5.0000000000000016e-05,-0.01449165239403936,-0.017192601107234914,3.7896492527401255e-08,0.9764725066167786,0.013504573743360405,2.8400979485987605,0.0
30.010000000013694,30.010000000013694,30.010000000013694,3001.0,4,0,2,0,0,400000,400000,40000,40000,4000,4000,98.5451800896588,98.5451800896588,40000,4000,400000,False,12,10,964ad_00000,2025-12-08_19-45-47,1765223147,40.592101097106934,384.86284923553467,4875,5be016125046,172.17.0.2,384.86284923553467,10,40000,40000,400000,400000,30.010000000013694,30.010000000013694,30.010000000013694,3001.0,4,0,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001]",38484.106,11435.743,27043.698,147.909,4.123,40000,40000,400000,400000,4.542592592592592,20.872222222222234,"[30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694, 30.010000000013694]","[3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001, 3001]",127.38853503184713,44745.5,2354.5,0.0,0.2598442002672172,0.2,5.0000000000000016e-05,-0.01007801464930841,-0.01208951017580088,2.3426771447085706e-05,-0.5107751977038738,0.009940343619348226,2.848544848344888,0.0
